query,forum_topics_url
ABB,https://mmb.moneycontrol.com/forum-topics/stocks/abb-india-1543.html
ABBOTINDIA,https://mmb.moneycontrol.com/forum-topics/stocks/abbott-india-4882.html
ACC,https://mmb.moneycontrol.com/forum-topics/stocks/acc-865.html
ADLABSFILM,https://mmb.moneycontrol.com/forum-topics/stocks/reliance-media-3861.html
AJANTPHARM,https://mmb.moneycontrol.com/forum-topics/stocks/ajanta-pharma-32524.html
AKSHOPTFBR,https://mmb.moneycontrol.com/forum-topics/stocks/aksh-optifibre-4021.html
ALEMBICLTD,https://mmb.moneycontrol.com/forum-topics/stocks/alembic-1481.html
ALFALAVAL,https://mmb.moneycontrol.com/forum-topics/stocks/alfa-laval-1561.html
ALOKINDS,https://mmb.moneycontrol.com/forum-topics/stocks/alok-industries-2047.html
AMARAJABAT,https://mmb.moneycontrol.com/forum-topics/stocks/amara-raja-batt-9625.html
ANDHRABANK,https://mmb.moneycontrol.com/forum-topics/stocks/andhra-bank-721.html
APOLLOHOSP,https://mmb.moneycontrol.com/forum-topics/stocks/apollo-hospital-4161.html
APOLLOTYRE,https://mmb.moneycontrol.com/forum-topics/stocks/apollo-tyres-9282.html
ARCHIES,https://mmb.moneycontrol.com/forum-topics/stocks/archies-1509.html
ARVINDMILL,https://mmb.moneycontrol.com/forum-topics/stocks/arvind-2281.html
ASHIMASYN,https://mmb.moneycontrol.com/forum-topics/stocks/ashima-22822.html
ASHKLEYFIN,https://mmb.moneycontrol.com/forum-topics/stocks/ashok-ley-fin-36326.html
ASHOKLEY,https://mmb.moneycontrol.com/forum-topics/stocks/ashok-leyland-9001.html
ASIANELEC,https://mmb.moneycontrol.com/forum-topics/stocks/asian-electroni-40221.html
ASIANHOTNR,https://mmb.moneycontrol.com/forum-topics/stocks/asian-hotels-30201.html
ASIANPAINT,https://mmb.moneycontrol.com/forum-topics/stocks/asian-paints-262.html
ATLASCOPCO,https://mmb.moneycontrol.com/forum-topics/stocks/atlas-copco-9301.html
ATLASCYCLE,https://mmb.moneycontrol.com/forum-topics/stocks/atlas-cycles-101915.html
AUROPHARMA,https://mmb.moneycontrol.com/forum-topics/stocks/aurobindo-pharm-5702.html
AUTOAXLES,https://mmb.moneycontrol.com/forum-topics/stocks/automotive-axle-26961.html
AZTEC,https://mmb.moneycontrol.com/forum-topics/stocks/aztec-fluids--machi-523411.html
BAJAJAUTO,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-finance-62781.html
BAJAUTOFIN,https://mmb.moneycontrol.com/forum-topics/stocks/bajaj-finance-62781.html
BALAJIDIST,https://mmb.moneycontrol.com/forum-topics/stocks/balaji-distill-663.html
BALAJITELE,https://mmb.moneycontrol.com/forum-topics/stocks/balaji-telefilm-321.html
BALLARPUR,https://mmb.moneycontrol.com/forum-topics/stocks/ballarpur-ind-605.html
BALMLAWRIE,https://mmb.moneycontrol.com/forum-topics/stocks/balmer-lawrie-25846.html
BALRAMCHIN,https://mmb.moneycontrol.com/forum-topics/stocks/balrampur-chini-18801.html
BANARISUG,https://mmb.moneycontrol.com/forum-topics/stocks/bannariamman-80050.html
BANKBARODA,https://mmb.moneycontrol.com/forum-topics/stocks/bankbaroda-261.html
BANKINDIA,https://mmb.moneycontrol.com/forum-topics/stocks/bankindia-5501.html
BANKPUNJAB,https://mmb.moneycontrol.com/forum-topics/stocks/bankpunjab-9361.html
BANKRAJAS,https://mmb.moneycontrol.com/forum-topics/stocks/bkrajasthan-40901.html
BASF,https://mmb.moneycontrol.com/forum-topics/stocks/basf-13162.html
BATAINDIA,https://mmb.moneycontrol.com/forum-topics/stocks/bata-india-10022.html
BAUSCHLOMB,https://mmb.moneycontrol.com/forum-topics/stocks/rayban-sun-1903.html
BAYERCROP,https://mmb.moneycontrol.com/forum-topics/stocks/bayer-cropscien-3761.html
BEL,https://mmb.moneycontrol.com/forum-topics/stocks/bharat-elec-8141.html
BEML,https://mmb.moneycontrol.com/forum-topics/stocks/beml-12241.html
BERGEPAINT,https://mmb.moneycontrol.com/forum-topics/stocks/berger-paints-51442.html
BGFL,https://mmb.moneycontrol.com/forum-topics/stocks/birla-global-12043.html
BHARATFORG,https://mmb.moneycontrol.com/forum-topics/stocks/bharat-forge-3184.html
BHEL,https://mmb.moneycontrol.com/forum-topics/stocks/bhel-4062.html
BHUSANSTL,https://mmb.moneycontrol.com/forum-topics/stocks/bhushan-4102.html
BINANIIND,https://mmb.moneycontrol.com/forum-topics/stocks/bil-vyapar-8641.html
BINDALAGRO,https://mmb.moneycontrol.com/forum-topics/stocks/oswal-chemandfe-16521.html
BIRLAERIC,https://mmb.moneycontrol.com/forum-topics/stocks/birla-ericsson-48061.html
BLUEDART,https://mmb.moneycontrol.com/forum-topics/stocks/blue-dart-2653.html
BLUESTARCO,https://mmb.moneycontrol.com/forum-topics/stocks/blue-star-23324.html
BLUESTINFO,https://mmb.moneycontrol.com/forum-topics/stocks/blue-star-info-2110.html
BOMDYEING,https://mmb.moneycontrol.com/forum-topics/stocks/bombay-dyeing-9502.html
BONGAIREFN,https://mmb.moneycontrol.com/forum-topics/stocks/bongaigaon-ref-669.html
BPCL,https://mmb.moneycontrol.com/forum-topics/stocks/bpcl-1145.html
BPL,https://mmb.moneycontrol.com/forum-topics/stocks/bpl-1642.html
BPLENGG,https://mmb.moneycontrol.com/forum-topics/stocks/bpl-engineering-49621.html
BRITANNIA,https://mmb.moneycontrol.com/forum-topics/stocks/britannia-5083.html
BSES,https://mmb.moneycontrol.com/forum-topics/stocks/reliance-infra-129895.html
BURRWELCOM,https://mmb.moneycontrol.com/forum-topics/stocks/burroughs-well-26464.html
CADBURY,https://mmb.moneycontrol.com/forum-topics/stocks/cadbury-8924.html
CADILAHC,https://mmb.moneycontrol.com/forum-topics/stocks/cadila-health-6821.html
CANFINHOME,https://mmb.moneycontrol.com/forum-topics/stocks/can-fin-homes-6823.html
CARBORUNIV,https://mmb.moneycontrol.com/forum-topics/stocks/carborundum-4462.html
