source_url,page_url,post_id,author,posted_at,heading,text,sentiment_compound,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115038266-116838266.html,116838266,kamal20,2026-01-26 16:59:52,Reliance,"the India VIX maintained its strong uptrend ahead of the Union Budget. It surged 24.8 percent last week the biggest weekly rally since April 2025 to 14.19 the highest closing level since June 2025 and hit the 200-week EMA, signalling elevated market uncertainty. It gained for the fourth consecutive week.,,,,,,,,,,,,,,,,,,,.................,,,,,,,,,,,,,,,,,,,,,,, the India VIX maintained its strong uptrend ahead of the Union Budget. It surged 24.8 percent last week the biggest weekly rally since April 2025 to 14.19 the highest closing level since June 2025 and hit the 200-week EMA, signalling elevated market uncertainty. It gained for the fourth consecutive week.",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115038255-116838255.html,116838255,kamal20,2026-01-26 16:53:54,Reliance,"Dalal Street This Week- Union Budget, FOMC meet, Q3 earnings, auto sales among key factors to watch. In the trading week starting from January 27 till February 1 except Saturday holiday, the cautious market is expected to be volatile with focus majorly on Union Budget, and Fed interest rate decision. - Cautious market expected to be volatile this week with focus majorly on Union Budget, Fed interest rate decision - Monthly auto sales data, US economic releases and further corporate earnings will also be watched this week,,,,,,,,,,,,....................,,,,,,,,,,,,,,,,,,,,,,,,,,, Dalal Street This Week- Union Budget, FOMC meet, Q3 earnings, auto sales among key factors to watch. In the trading week starting from January 27 till February 1 except Saturday holiday, the cautious market is expected to be volatile with focus majorly on Union Budget, and Fed interest rate decision. - Cautious market expected to be volatile this week with focus majorly on Union Budget, Fed interest rate decision - Monthly auto sales data, US economic releases and further corporate earnings will also be watched this week",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/bonds/bonds/thread-message-115018207-116818207.html,116818207,The Fixed Income,2026-01-21 10:03:44,Bonds,"built with love in india, the fixed income is a sebi registered bond investment platform. it empowers over 2,00,000 investors to grow with stability. whether it’s corporate bonds, government bonds, fixed deposits, or more, our platform helps you build a solid financial foundation with predictable, stable returns. explore now: https://tinyurl.com/fihopa",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115037887-116838081.html,116838081,maheshwsg,2026-01-26 14:31:00,Reliance,what is the source of this news.,0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115037887-116837887.html,116837887,rkrrrr,2026-01-26 12:33:06,Reliance,"sundar pachai of GOOGLE ,,Google will invest 12000 crores with Reliance industries for Battery project and 16000 crores for AI CLOUD",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115037546-116837546.html,116837546,brij17,2026-01-26 09:47:39,Reliance,Reliance will also be one of the beneficiary of the upcoming rally in February.....1600 to 1400 in January can again go to 1600 in February...Mark my words,0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115036440-116836440.html,116836440,Rajesh307,2026-01-25 14:35:35,Reliance,"Market headed for a crash in 2026 . Expect levels at 14, 13, 12 and 11 by end 2026 due to high valuations PE morethan 10 ,tariffs, and global uncertainty. Time to be cautious",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/bonds/bonds/thread-message-115018201-116818201.html,116818201,The Fixed Income,2026-01-21 10:03:22,Bonds,"tax efficiency: certain debt instruments, like municipal bonds or government securities, may offer tax benefits. this can help investors optimize their after-tax returns while maintaining a low-risk profile. https://www.thefixedincome.com/products?utm_source=moneycontrol&utm_medium=mcforum&utm_campaign=all+bonds+",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115036290-116836290.html,116836290,Techview,2026-01-25 11:54:11,Reliance,"April 2026 marks Trump first official visit to China since returning to office China played a major role in 2020 US election, Which DT lost, Now he is targeting all close partners of China, Armada, and other warship are moving towards IRAN, Canada another close ally of China is facing 100 percent tariff threat they will surrender to USA, China close partners Pakistan is already parroting US. So the world order is set to Change, Feb and Mar can be extremely volatile due to above reason and Puetz crash theory,",0.0,neutral,0.0,0.0,1.0
https://mmb.moneycontrol.com/forum-topics/stocks/reliance-322.html,https://mmb.moneycontrol.com/forum-topics/stocks/reliance/thread-message-115036052-116836052.html,116836052,Rajesh307,2026-01-25 07:08:35,Reliance,"Market headed for a crash in 2026 . Expect price levels at 13, 12 and 11 in order by end 2026 due to high valuations PE morethan 10 ,tariffs, and global uncertainty. Time to be cautious",0.0,neutral,0.0,0.0,1.0
